deviceModel,intervalo,rsrq_mean,rsrq_std,rsrp_mean,rsrp_std,rssi_mean,rssi_std,lat_mean,lon_mean
Brand A model 2,I15 14:47:00-14:48:00,-16.545454545454547,2.1148823307047775,-97.81818181818181,2.9603439603593977,-61.36363636363637,2.335496832484569,-16.406631518181822,-71.52452917272727
Brand A model 2,I16 14:48:00-14:49:00,-17.0,1.2060453783110545,-97.83333333333333,1.8504708655481241,-61.333333333333336,2.059714602177749,-16.406621125,-71.52450929999999
Brand A model 2,I17 14:49:00-14:50:00,-18.166666666666668,1.5275252316519468,-103.5,2.540579747724022,-66.0,2.0,-16.40659321666667,-71.52447238333332
Brand A model 2,I18 14:50:00-14:51:00,-15.666666666666666,2.0925553466486564,-100.91666666666667,3.058767824804721,-65.83333333333333,1.9924098397912435,-16.40658918333333,-71.5244436
Brand A model 4,I1 12:56:00-12:57:00,-15.5,0.9045340337332909,-105.41666666666667,1.0836246694508316,-69.0,1.2060453783110545,-16.406523325,-71.52436397500001
Brand A model 4,I2 12:58:00-12:59:00,-13.75,1.3568010505999362,-99.25,0.8660254037844386,-64.66666666666667,1.4354811251305466,-16.406490099999996,-71.52438729999999
Brand A model 4,I3 13:00:00-13:01:00,-15.916666666666666,0.6685579234215215,-104.66666666666667,0.492365963917331,-67.33333333333333,1.4354811251305466,-16.406442800000004,-71.52438919999999
Brand A model 4,I4 13:02:00-13:03:00,-16.583333333333332,0.5149286505444373,-104.25,2.5628464289109907,-67.0,2.9541957835039856,-16.4063938,-71.52440981666668
Brand A model 4,I5 13:04:00-13:05:00,-18.636363636363637,0.9244162777371753,-101.72727272727273,3.8494391563163872,-62.45454545454545,2.5441555126853532,-16.4063472,-71.5244454
Brand A model 4,I6 13:07:00-13:08:00,-16.333333333333332,0.4923659639173309,-106.75,0.7537783614444091,-69.5,1.243163121016122,-16.406489883333332,-71.5244714
Brand A model 4,I7 13:09:00-13:10:00,-18.181818181818183,0.7507571935295484,-99.36363636363636,3.384456448906597,-60.09090909090909,3.0151134457776365,-16.4065063,-71.52447741818182
Brand A model 4,I8 13:13:00-13:14:00,-15.416666666666666,0.5149286505444373,-105.58333333333333,0.9962049198956218,-68.83333333333333,1.0298573010888743,-16.40654394166667,-71.52454913333331
Brand A model 4,I9 13:15:00-13:16:00,-17.416666666666668,0.90033663737852,-103.16666666666667,4.608950449117916,-65.0,5.187397315522584,-16.406595883333335,-71.5245386
Brand A model 4,I10 13:17:00-13:18:00,-16.75,0.45226701686664544,-104.66666666666667,0.9847319278346617,-66.66666666666667,1.4354811251305466,-16.406606433333334,-71.52458832500001
Brand A model 4,I11 13:19:00-13:20:00,-15.333333333333334,0.49236596391733095,-101.83333333333333,1.642245321798694,-65.33333333333333,1.4354811251305466,-16.4065579,-71.52455910000002
Brand A model 4,I12 13:21:00-13:22:00,-15.454545454545455,0.5222329678670935,-97.18181818181819,0.40451991747794525,-61.18181818181818,1.0787197799411872,-16.40661664545454,-71.52454474545456
Brand A model 4,I13 13:23:00-13:24:00,-14.916666666666666,0.996204919895622,-100.66666666666667,0.7784989441615231,-64.5,1.5075567228888183,-16.4066224,-71.52453850000002
Brand A model 4,I14 13:25:00-13:26:00,-15.25,1.1381803659589922,-99.75,0.45226701686664544,-63.666666666666664,1.775250729197189,-16.406644233333328,-71.52452846666665
Brand A model 4,I15 13:27:00-13:28:00,-15.666666666666666,0.9847319278346618,-101.16666666666667,1.5275252316519465,-64.33333333333333,1.5569978883230458,-16.406622541666664,-71.52452559166669
Brand A model 4,I16 13:29:00-13:30:00,-15.363636363636363,0.504524979109513,-100.36363636363636,0.6741998624632421,-63.72727272727273,1.009049958219026,-16.406544781818184,-71.52452481818182
Brand A model 4,I17 13:31:00-13:32:00,-15.25,1.2880570286640687,-100.0,1.348399724926484,-63.166666666666664,1.5859229221975182,-16.40653645,-71.52446588333333
Brand A model 4,I18 13:33:00-13:34:00,-17.0,1.5954480704349312,-92.33333333333333,1.0730867399773196,-54.5,1.9306145983268455,-16.406588408333334,-71.524451625
Brand A model 3,I1 12:14:00-12:15:00,-16.727272727272727,1.1908743922772955,-102.18181818181819,2.7502066038093145,-62.81818181818182,1.8877596148970779,-16.406445099999996,-71.52434949999999
Brand A model 3,I2 12:15:00-12:16:00,-15.75,0.45226701686664544,-98.66666666666667,1.874873733122184,-61.333333333333336,2.229281716090851,-16.40643175833333,-71.52437111666666
